city,born_alive
abreu e lima,1275
afogados da ingazeira,575
afranio,241
agrestina,371
agua preta,408
aguas belas,702
alagoinha,182
alianca,518
altinho,240
amaraji,268
angelim,150
aracoiaba,327
araripina,1616
arcoverde,1135
barra de guabiraba,158
barreiros,678
belem de maria,136
belem de sao francisco,279
belo jardim,1119
betania,178
bezerros,711
bodoco,528
bom conselho,448
bom jardim,436
bonito,649
brejao,177
brejinho,94
brejo da madre de deus,743
buenos aires,179
buique,850
cabo de santo agostinho,2905
cabrobo,522
cachoeirinha,336
caetes,447
calcado,125
calumbi,97
camaragibe,2048
camocim de sao felix,211
camutanga,91
canhotinho,350
capoeiras,269
carnaiba,251
carnaubeira da penha,271
carpina,1053
caruaru,5554
casinhas,156
catende,454
cedro,155
cha de alegria,171
cha grande,317
condado,339
correntes,180
cortes,160
cumaru,140
cupira,356
custodia,551
dormentes,225
escada,777
exu,417
feira nova,301
fernando de noronha,26
ferreiros,138
flores,272
floresta,493
frei miguelinho,137
gameleira,295
garanhuns,2136
gloria do goita,364
goiana,1094
granito,125
gravata,1039
iati,321
ibimirim,413
ibirajuba,109
igarassu,1535
iguaraci,136
inaja,366
ingazeira,62
ipojuca,1816
ipubi,578
itacuruba,79
itaiba,416
ilha de itamaraca,315
itambe,447
itapetim,183
itapissuma,392
itaquitinga,195
jaboatao dos guararapes,8665
jaqueira,148
jatauba,219
jatoba,214
joao alfredo,343
joaquim nabuco,228
jucati,186
jupi,306
jurema,189
lagoa do carro,236
lagoa do itaenga,331
lagoa do ouro,147
lagoa dos gatos,176
lagoa grande,377
lajedo,669
limoeiro,757
macaparana,341
machados,207
manari,252
maraial,154
mirandiba,278
moreilandia,144
moreno,760
nazare da mata,406
olinda,4725
orobo,293
oroco,257
ouricuri,1049
palmares,841
palmeirina,95
panelas,369
paranatama,200
parnamirim,263
passira,359
paudalho,818
paulista,3627
pedra,365
pesqueira,900
petrolandia,669
petrolina,6299
pocao,162
pombos,369
primavera,164
quipapa,205
quixaba,95
recife,18147
riacho das almas,285
ribeirao,459
rio formoso,347
saire,117
salgadinho,66
salgueiro,983
saloa,189
sanharo,294
santa cruz,211
santa cruz da baixa verde,155
santa cruz do capibaribe,1314
santa filomena,205
santa maria da boa vista,648
santa maria do cambuca,190
santa terezinha,123
sao benedito do sul,151
sao bento do una,755
sao caitano,529
sao joao,331
sao joaquim do monte,262
sao jose da coroa grande,301
sao jose do belmonte,495
sao jose do egito,419
sao lourenco da mata,1489
sao vicente ferrer,272
serra talhada,1486
serrita,280
sertania,401
sirinhaem,535
solidao,76
surubim,826
tabira,353
tacaimbo,180
tacaratu,332
tamandare,405
taquaritinga do norte,390
terezinha,99
terra nova,133
timbauba,651
toritama,644
tracunhaem,200
trindade,573
triunfo,179
tupanatinga,363
tuparetama,112
venturosa,284
verdejante,129
vertente do lerio,100
vertentes,311
vicencia,356
vitoria de santo antao,1914
xexeu,235
municipio ignorado - pe,19
juazeiro (ba),1425
